A 201 4590 03/13/2022-15:51
A 202 0 0 0
A 203 0 0 0
A 204 59053 4 02/01/2022-09:55
A 205 59078 2 02/01/2022-09:55
A 206 59037 10 02/01/2022-09:55
A 207 59075 2 02/01/2022-09:55
A 208 59004 11 02/01/2022-09:55
A 209 58898 5 02/01/2022-09:55
A 210 59041 3 02/01/2022-09:55
A 211 59075 1 02/01/2022-09:55
A 212 59034 7 02/01/2022-09:55
A 213 59034 13 02/01/2022-09:55
A 214 59123 5 02/01/2022-09:55
A 215 0 0 0
A 216 59059 9 03/13/2022-01:35
A 217 0 0 0
A 218 0 0 0
A 219 0 0 0
A 220 59094 3 02/01/2022-09:55
A 301 0 0 0
A 302 59006 2 02/01/2022-09:55
A 303 59053 1 02/01/2022-09:55
A 304 59053 5 02/01/2022-09:55
A 305 59053 6 02/01/2022-09:55
A 306 59053 7 02/01/2022-09:55
A 307 59090 5 02/01/2022-09:55
A 308 59020 3 02/01/2022-09:55
A 309 0 0 0
A 310 59070 5 02/01/2022-09:55
A 311 59061 3 02/01/2022-09:55
A 312 59029 2 02/01/2022-09:55
A 313 59071 2 02/01/2022-09:55
A 314 59029 1 02/01/2022-09:55
A 315 59006 4 02/01/2022-09:55
A 316 59041 2 02/01/2022-09:55
A 317 59061 2 02/01/2022-09:55
A 318 59090 4 02/01/2022-09:55
A 319 59044 5 02/01/2022-09:55
A 320 59090 3 02/01/2022-09:55
B 201 58979 2 02/01/2022-09:55
B 202 59020 1 02/01/2022-09:55
B 203 59055 1 02/01/2022-09:55
B 204 59090 7 02/01/2022-09:55
B 205 58973 3 02/01/2022-09:55
B 206 59095 1 02/01/2022-09:55
B 207 59087 3 02/01/2022-09:55
B 208 59026 3 02/01/2022-09:55
B 209 59074 1 02/01/2022-09:55
B 210 59074 2 02/01/2022-09:55
B 211 59076 3 02/01/2022-09:55
B 212 59076 5 02/01/2022-09:55
B 213 59074 3 02/01/2022-09:55
B 214 59110 4 02/01/2022-09:55
B 215 59090 6 02/01/2022-09:55
B 216 0 0 0
B 217 0 0 0
B 218 59124 2 02/01/2022-09:55
B 219 59102 4 02/01/2022-09:55
B 220 59025 1 02/01/2022-09:55
B 301 59055 2 02/01/2022-09:55
B 302 59055 3 02/01/2022-09:55
B 303 59026 4 02/01/2022-09:55
B 304 59014 4 02/01/2022-09:55
B 305 58979 3 02/01/2022-09:55
B 306 59026 5 02/01/2022-09:55
B 307 59077 2 02/01/2022-09:55
B 308 59094 4 02/01/2022-09:55
B 309 58986 4 02/01/2022-09:55
B 310 58973 4 02/01/2022-09:55
B 311 59094 1 02/01/2022-09:55
B 312 59012 1 02/01/2022-09:55
B 313 58973 5 02/01/2022-09:55
B 314 59075 3 02/01/2022-09:55
B 315 59074 5 02/01/2022-09:55
B 316 59012 6 02/01/2022-09:55
B 317 59074 6 02/01/2022-09:55
B 318 59123 6 02/01/2022-09:55
B 319 59063 2 02/01/2022-09:55
B 320 59063 3 02/01/2022-09:55
C 201 59017 2 02/01/2022-09:55
C 202 59017 3 02/01/2022-09:55
C 203 59054 2 02/01/2022-09:55
C 204 59059 5 02/01/2022-09:55
C 205 59014 2 02/01/2022-09:55
C 206 59095 3 02/01/2022-09:55
C 207 59054 1 02/01/2022-09:55
C 208 59102 7 02/01/2022-09:55
C 209 59029 3 02/01/2022-09:55
C 210 59095 2 02/01/2022-09:55
C 211 58973 1 02/01/2022-09:55
C 212 59026 6 02/01/2022-09:55
C 213 59076 1 02/01/2022-09:55
C 214 59077 1 02/01/2022-09:55
C 215 59089 2 02/01/2022-09:55
C 216 59087 2 02/01/2022-09:55
C 217 59087 1 02/01/2022-09:55
C 218 59091 2 02/01/2022-09:55
C 219 59074 4 02/01/2022-09:55
C 220 59058 2 02/01/2022-09:55
C 221 0 0 0
C 222 59097 4 02/04/2022-13:51
C 223 59097 1 02/01/2022-09:55
C 224 59123 4 02/01/2022-12:44
C 301 59017 1 02/01/2022-09:55
C 302 59070 3 02/01/2022-09:55
C 303 59076 4 02/01/2022-09:55
C 304 59059 6 02/01/2022-09:55
C 305 58986 1 02/01/2022-09:55
C 306 59102 9 02/01/2022-09:55
C 307 59102 6 02/01/2022-09:55
C 308 59116 2 02/01/2022-09:55
C 309 59113 1 02/01/2022-09:55
C 310 59113 2 02/01/2022-09:55
C 311 59097 2 02/01/2022-09:55
C 312 58986 5 02/01/2022-09:55
C 313 59100 2 02/01/2022-09:55
C 314 59076 2 02/01/2022-09:55
C 315 58973 2 02/01/2022-09:55
C 316 59123 7 02/01/2022-09:55
C 317 59064 2 02/01/2022-09:55
C 318 59064 1 02/01/2022-09:55
C 319 59058 1 02/01/2022-09:55
C 320 59100 1 02/01/2022-09:55
C 321 59097 5 02/01/2022-09:55
C 322 59100 4 02/01/2022-09:55
